"","Automolus_infuscatus","Automolus_ochrolaemus","Bucco_tamatia","Campephilus_rubricollis","Celeus_elegans","Cercomacroides_tyrannina","Certhiasomus_stictolaemus","Coccycua_minuta","Conopophaga_aurita","Dendrocincla_fuliginosa","Dendrocolaptes_certhia","Epinecrophylla_gutturalis","Formicarius_analis","Formicarius_colma","Galbula_albirostris","Glyphorynchus_spirurus","Henicorhina_leucosticta","Hylexetastes_perrotii","Hylophylax_naevius","Hypocnemis_cantator","Isleria_guttata","Lophotriccus_galeatus","Lophotriccus_vitiosus","Mionectes_macconnelli","Monasa_atra","Myiarchus_tuberculifer","Myiobius_barbatus","Myrmoderus_ferrugineus","Myrmotherula_axillaris","Myrmotherula_menetriesii","Nasica_longirostris","Onychorhynchus_coronatus","Percnostola_rufifrons","Pheugopedius_coraya","Philydor_erythrocercum","Philydor_pyrrhodes","Pithys_albifrons","Platyrinchus_coronatus","Platyrinchus_saturatus","Ramphotrigon_ruficauda","Rhynchocyclus_olivaceus","Rhytipterna_simplex","Saltator_grossus","Saltator_maximus","Sclerurus_rufigularis","Sittasomus_griseicapillus","Synallaxis_rutilans","Terenotriccus_erythrurus","Thamnomanes_ardesiacus","Thamnomanes_caesius","Thamnophilus_murinus","Thamnophilus_punctatus","Tolmomyias_poliocephalus","Trogon_rufus","Turdus_albicollis","Willisornis_poecilinotus","Xenops_minutus","Xiphorhynchus_obsoletus","Xiphorhynchus_pardalotus"
"Neto",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"Palhal",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pe_Torto",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Piquia",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Pontal",0,0,0,0,3,0,0,0,0,0,2,0,0,0,4,3,0,0,0,5,2,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,1
"Porto_Seguro",0,0,0,0,1,0,4,0,0,2,1,0,0,0,2,5,5,0,0,7,8,0,0,3,0,0,1,0,1,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,2,4,0,0,10
"Relogio",0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
"Sapupara",0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3
"Torem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristeza",0,0,0,0,0,7,0,1,0,4,4,0,0,0,0,4,0,0,0,6,0,1,0,0,1,0,1,0,11,0,0,4,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,2,1
"Tucumari",0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,5,0,0,0,10,2,0,0,0,0,1,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,4
"Xibe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
